id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,is_expen,price_range
0,1170,1,0.431590489,0,0,1,2,0.768278648,200,5,20,33,1911,3383,16,5,2,1,0,1,0,1
1,1165,0,0.469538912,0,0,1,14,0.344412947,114,3,9,176,677,2036,12,5,13,1,0,1,0,1
2,654,0,0.474741393,1,0,0,21,0.339488806,145,1,3,270,1805,2676,15,7,20,1,0,1,0,3
3,562,0,0.492384938,1,1,0,32,0.082196646,180,5,3,174,1031,1589,11,3,3,1,1,1,0,0
4,1152,1,2.404824296,1,0,0,12,0.798404662,183,1,7,640,1927,3440,16,0,11,1,1,1,0,1
5,529,1,2.39931811,0,0,0,60,0.089556573,202,8,0,203,1442,2018,10,0,10,1,0,1,0,0
6,1828,1,0.510920799,1,3,0,27,0.025356543,176,4,3,967,1043,3445,16,0,8,1,1,1,0,3
7,568,1,0.458570759,0,0,1,33,0.767143589,114,1,7,1067,1603,2681,10,1,20,1,0,0,0,1
8,596,0,0.423941344,1,0,1,20,0.026930329,111,1,4,41,1972,399,7,4,7,1,0,0,1,2
9,1026,1,1.851794453,1,0,1,33,0.35453846,148,6,7,175,665,2689,7,1,20,1,1,0,0,1
10,518,1,1.050997534,1,0,1,15,0.811373667,115,3,14,227,669,3417,18,5,9,1,0,1,0,2
11,1148,1,1.84130456,1,0,1,43,0.811384363,183,7,3,172,1549,1989,16,4,15,1,1,1,0,1
12,1163,1,0.419483803,0,0,1,31,0.373922521,201,3,4,254,995,1557,15,1,6,1,0,1,0,3
13,593,1,0.492466263,0,0,1,21,0.023871771,180,1,0,165,1948,1562,18,3,13,1,1,1,0,0
14,1026,1,1.873005242,1,0,1,12,0.806533322,181,1,2,254,1934,3355,18,7,6,1,0,0,0,0
15,1166,0,1.104847034,1,0,1,31,0.55344843,148,3,14,1001,674,2689,18,6,9,1,0,0,0,1
16,1026,1,0.492060335,1,0,1,32,0.359818202,114,7,3,1024,634,2690,7,3,4,1,0,1,0,1
17,538,1,1.634697655,0,0,1,31,0.34696549,179,3,7,606,648,2673,12,1,2,1,0,1,0,2
18,525,1,1.855438192,0,0,1,2,0.780683557,180,1,2,39,1925,3372,18,7,7,1,1,0,0,0
19,548,1,1.853058353,0,0,0,8,0.071074752,176,4,10,611,1472,3839,12,3,8,1,1,1,0,1
20,1026,0,2.475202293,1,0,0,14,0.070754882,139,4,7,32,1537,656,16,4,6,1,0,1,0,1
21,602,0,0.423986093,1,0,1,20,0.026956664,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
22,1171,0,1.110370032,0,0,0,33,0.543104359,113,4,14,989,688,2690,12,0,2,1,0,1,0,2
23,609,0,2.445665025,0,0,0,12,0.350159791,183,8,4,200,1472,1467,17,0,15,1,1,1,0,0
24,1495,0,2.38213945,0,0,1,12,0.065643138,181,7,14,189,1940,3780,18,3,20,1,0,0,0,2
25,1787,0,0.448802137,0,0,0,49,0.369608949,147,1,1,1014,1804,3418,17,3,20,1,0,0,0,1
26,1140,0,0.415829044,0,0,0,20,0.361072416,202,6,3,147,1912,2011,11,1,6,0,1,0,0,2
27,589,0,0.41715238,1,0,1,20,0.027610245,89,1,4,163,1971,393,7,4,7,1,0,0,1,2
28,1171,1,0.416603296,0,0,1,21,0.356549938,200,7,14,207,1804,3444,15,1,15,1,0,0,0,3
29,1163,0,1.827322308,0,0,1,8,0.084536458,144,6,4,191,1580,3555,18,4,9,1,0,0,0,3
30,1026,1,1.0489427,1,0,1,33,0.027614267,144,8,14,165,1179,1530,18,9,3,1,1,0,0,0
31,1814,0,1.864594674,1,0,1,27,0.026044132,113,2,20,162,1257,3494,17,11,13,1,0,1,0,2
32,1173,1,1.818790468,1,0,1,14,0.02656424,114,5,14,162,685,1983,16,7,6,1,1,1,0,3
33,573,0,0.432820589,0,0,0,14,0.356139818,200,6,14,619,1012,1611,7,1,15,1,1,1,0,2
34,1026,0,2.402787709,1,0,1,43,0.065088825,114,3,3,200,671,2000,14,5,13,1,1,1,0,1
35,1165,1,0.410429426,1,0,0,31,0.367924685,179,7,7,1094,1803,3443,17,1,10,1,0,0,0,1
36,1154,0,0.426946127,0,0,1,2,0.55381766,147,6,4,174,985,2709,15,7,7,1,1,1,0,2
37,1156,1,2.401924933,1,0,0,51,0.07039296,175,5,14,173,1579,3822,16,4,7,1,0,1,0,2
38,1165,1,2.421085034,0,0,1,27,0.067497052,114,8,0,36,980,3817,7,2,17,1,1,1,0,2
39,1160,1,1.81724805,1,0,1,9,0.026938197,201,2,7,611,1085,1993,16,1,19,1,1,0,0,2
40,613,0,0.417511594,1,0,1,20,0.027059216,112,1,4,163,1962,391,7,4,7,1,0,0,1,2
